rule,K,±
0,0.0,0.0
1,-0.03916724769912734,0.535665295676105
2,0.9957236978869428,0.0037664339439581473
3,0.8606127119466787,0.2614769760424085
4,-0.030466518477850306,0.5277709158180016
5,-0.03909890956581348,0.5360393799862561
6,0.9926133140456743,0.014102825265214003
7,0.8869069660857651,0.1701218932726523
8,0.0,0.0
9,0.5331279277844893,0.40064437609513526
10,0.992279953624037,0.011073557932071543
11,0.9242112804429328,0.1517967387339168
12,-0.030470461981660486,0.5277723910940634
13,-0.030468314315209827,0.5277714838778312
14,0.7904933449285427,0.20713286903675848
15,0.9662469533225222,0.037060547779905584
18,0.9857438410975092,0.02019512510201693
19,-0.039039624357247976,0.5356207660628118
22,0.9854263206118062,0.021457711653469602
23,-0.03903960913980617,0.5356212414576473
24,0.9903558078004921,0.029714617947308397
25,0.7313521600630689,0.41919854202168944
26,0.9583096500431497,0.05894079776706501
27,0.8483979917135712,0.2168927185159067
28,-0.03892545502674952,0.5360132694756133
29,-0.03917993219212104,0.5359289260865912
30,0.9611614725522881,0.056547111640716574
32,0.0,0.0
33,-0.03916415097027237,0.5356676926127438
34,0.989365893058304,0.010235338379105896
35,0.693464787787589,0.3433589911526157
36,-0.030466934332290148,0.5277750442166999
37,-0.03344939443411585,0.5306422948703567
38,0.98970502951066,0.029846265231176394
40,0.0,0.0
41,0.915611509690506,0.05550991247902931
42,0.9805799050709294,0.016225097878549366
43,0.5861965489724228,0.4446707084234037
44,-0.03046796944800689,0.5277784840972667
45,0.9555801369564918,0.05371945975172915
46,0.9857898049317854,0.020401441294403966
50,-0.03906152676632055,0.5359152852339066
51,-0.03905323401559689,0.5358950994396445
54,0.9274443336562586,0.24655517079510575
56,0.9411873734379019,0.04008923454519542
57,0.0154666669626973,0.5142379355717356
58,0.293820740236716,0.44490077584458415
60,0.9677932278156187,0.06986803059824132
62,0.0938567902787999,0.49080732224463214
72,-0.030470231038921932,0.5277798506675814
73,-0.04318948168501139,0.5391695533818917
74,0.9922843916906547,0.014432257269844317
76,-0.030465678183926946,0.5277757201298175
77,-0.030467408894115075,0.5277712368833731
78,-0.030468476894695215,0.5277722160027589
90,0.9622624621317559,0.05613337389877343
94,-0.04657166161659115,0.5393694567525186
104,-0.03046814162817292,0.5277721231167353
105,0.9673114813498153,0.07634181538567625
106,0.9640294977948571,0.03816916592067687
108,-0.03526072783919743,0.5339808731631691
110,0.7740306850695033,0.23427474453123243
122,0.9827338663117178,0.012170165358289797
126,0.9844873877117089,0.018517252807456974
128,0.0,0.0
130,0.9925576976711521,0.014829953745170266
132,-0.03046526207501144,0.5277723673463022
134,0.9843607499778568,0.019434027002162013
136,0.0,0.0
138,0.9893223677498613,0.019273710047442605
140,-0.030470461981660486,0.5277723910940634
142,0.7746228751252711,0.3649424824465697
146,0.9827877110444214,0.02018178076932703
150,0.9738724127697305,0.06814014057216511
152,0.9856717865750755,0.033422343533982546
154,0.9625946372502983,0.05762564266465481
156,-0.038925509755994604,0.5360123145034135
160,0.0,0.0
162,0.962558683608122,0.04475865234272053
164,-0.0304691586192168,0.5277772415280714
168,6.042873768533351e-16,6.042873768533351e-16
170,0.9717359531664367,0.046712309766266724
172,-0.03046738557209637,0.5277721686211494
178,-0.03906152676632055,0.5359152852339066
184,0.012566577731617174,0.5180440476555657
200,-0.030467964239262332,0.5277708022806868
204,-0.03046958391845259,0.5277751004234208
232,-0.030467058932345904,0.5277713542717573
