rule,K
0,0.0
1,-0.03478644845535122
2,0.9955838822432663
3,0.8601035031765285
4,-0.03194407436319696
5,-0.034829599456500465
6,0.9925890805337744
7,0.8881086548558279
8,0.0
9,0.5383537584215744
10,0.9919109306076468
11,0.9247656071372361
12,-0.03194576631729232
13,-0.031942225445813474
14,0.7934131103340827
15,0.9664728784824077
18,0.9856860031911998
19,-0.034737070134498796
22,0.9855504963973377
23,-0.03473885096095859
24,0.989931015265854
25,0.7307971625912432
26,0.9586158723334126
27,0.8487470311247554
28,-0.03487980380433697
29,-0.03469715662525005
30,0.9622174520942213
32,0.0
33,-0.03478241172635241
34,0.9896661814102898
35,0.6967528410702744
36,-0.03193937806714292
37,-0.03140200557214602
38,0.9901440030064603
40,0.0
41,0.9174710438024637
42,0.9807478883577836
43,0.5940609837232286
44,-0.031947149076153446
45,0.9553946702425697
46,0.9862041783311104
50,-0.03467470604123278
51,-0.03467791082714064
54,0.9277148756911414
56,0.9419070451152856
57,0.015896622004963917
58,0.2996644569053919
60,0.9682358922564933
62,0.09913707157550697
72,-0.03194069475697696
73,-0.039226246643142046
74,0.992429301334268
76,-0.03194528786040045
77,-0.03194208399873035
78,-0.03194062371918455
90,0.9627855004391686
94,-0.048866496112435376
104,-0.03194240830111618
105,0.9680860399685063
106,0.9648139507193911
108,-0.03422559719688403
110,0.7739090396253097
122,0.9827089841612062
126,0.9847134729807749
128,0.0
130,0.9926579473731298
132,-0.031943514625434793
134,0.9847328390991302
136,0.0
138,0.9891837656434126
140,-0.03194576631729232
142,0.7768062208456228
146,0.9829020644548978
150,0.9738541111455572
152,0.9854141665084966
154,0.9626396094555727
156,-0.034880549957192065
160,0.0
162,0.9625672960763092
164,-0.03194307718364613
168,0.0
170,0.971643678161591
172,-0.03194019909870808
178,-0.03467470604123278
184,0.012927467396806551
200,-0.03194004718607876
204,-0.031944515625124764
232,-0.03194323550010027
