rule,K
0,0.0
1,0.00431661119767
2,0.0516385645509
3,0.123473456564
4,0.00423766211498
5,0.00424723718684
6,0.145316830415
7,0.127698815682
8,0.0
9,0.130394553275
10,0.0573766060737
11,0.116079078926
12,0.00423780388964
13,0.00423772312611
14,0.068401177093
15,0.141093814947
18,0.992584983467
19,0.00367823427879
22,0.997101738297
23,0.00367825398758
24,0.0672620899769
25,0.135012125864
26,0.94828565807
27,0.132314933323
28,0.00423513249862
29,0.00429911615413
30,0.997895774972
32,0.0
33,0.00431807594592
34,0.061696578197
35,0.106558879665
36,0.00423774542998
37,-0.000755461869669
38,0.161187340159
40,0.0
41,0.944169599094
42,0.050668822439
43,0.14109337092
44,0.0042377247721
45,0.994967318845
46,0.0627772193706
50,0.00399947269067
51,0.00396415244452
54,0.986260090449
56,0.0638233587987
57,0.0197850256363
58,0.0491694827175
60,0.995497355559
62,0.000437121193198
72,0.00423768219508
73,0.00150617466095
74,0.128918992273
76,0.00423761606022
77,0.00423765411079
78,0.00423760646445
90,0.995833012562
94,0.00259396934575
104,0.00423768731066
105,0.99799469955
106,0.997124240228
108,0.00423754242263
110,0.977656191549
122,0.997855100399
126,0.989951634291
128,0.0
130,0.0572832615698
132,0.0042375509903
134,0.127463495328
136,0.0
138,0.0631957076476
140,0.00423780388964
142,0.0822421074793
146,0.995509708071
150,0.9968069442
152,0.0605469271271
154,0.93965641598
156,0.00423506800729
160,0.0
162,0.0634972753717
164,0.00423761694344
168,7.18934818224e-16
170,0.0598088549059
172,0.00423780010335
178,0.00399947269067
