rule,K
0,0.0
1,-0.0079671002420569
2,0.991662297875457
3,0.9661008184628153
4,-0.00693132403250819
5,-0.009389335309417867
6,0.9932752712724633
7,0.9759978035394536
8,0.0
9,0.8691145570819172
10,0.9953609132575527
11,0.9796264638362541
12,-0.006933384764057056
13,-0.006932378999209149
14,0.9529928081254124
15,0.9886371058238569
18,0.9887541245588098
19,-0.006678715248405869
22,0.99438844895303
23,-0.006678956567789603
24,0.9930315423066909
25,0.9471900175780137
26,0.9857477548030035
27,0.9658606853749021
28,-0.009359242484497387
29,-0.00949851797390002
30,0.9901465283931914
32,0.0
33,-0.007985176818306114
34,0.9920245647726291
35,0.9344301492250762
36,-0.006932139871282808
37,-0.01141473268476747
38,0.9929996305573687
40,0.0
41,0.9798239218711792
42,0.9876320009461846
43,0.8980184461690092
44,-0.0069343980796512045
45,0.9900193487043802
46,0.9905382943936265
50,-0.00865006825124702
51,-0.008409045995932023
54,0.9746434629669771
56,0.9804312838388081
57,0.12012147862682332
58,0.7731905416620357
60,0.9902234510665159
62,0.026758441155612513
72,-0.006933074634743602
73,-0.011788128281493507
74,0.9925939117920258
76,-0.006933204756059469
77,-0.0069331409026426715
78,-0.006932624065309393
90,0.9930962029610161
94,-0.012160620902572765
104,-0.006933498092331975
105,0.9886685576135981
106,0.9890993260992074
108,-0.009036189228155422
110,0.9122785738337857
122,0.9947465123919556
126,0.9938790642928699
128,0.0
130,0.9941682395796321
132,-0.006934269568286071
134,0.9925234831747176
136,0.0
138,0.9921112854885668
140,-0.006933384764057056
142,0.9510787895987431
146,0.9961745289334432
150,0.9906140322608301
152,0.9913326372856317
154,0.9861639026902198
156,-0.009358741193702946
160,0.0
162,0.9818010347715389
164,-0.006933134522142965
168,0.0
170,0.9839319550197522
172,-0.006932194668464328
178,-0.00865006825124702
184,0.08663383635269671
200,-0.006933822633913086
204,-0.006932827017178126
232,-0.0069334016865331225
